date,gold_sentiment,source
2019-03-21,0.9359133838688145,Investing News Network
2019-03-18,0.9999957071022146,Northern Ontario Business
2019-03-18,0.7010486961907721,Business Advantage PNG
2019-03-21,0.9999995680320847,CBC
2019-03-22,0.40834560229087025,Mining Weekly
2019-03-22,0.298393957520003,Inquirer.net
2019-03-20,0.9998309116397474,Mining.com
2019-03-20,0.9990717872558212,thenewdawnliberia.com
2019-03-17,0.8275021041596259,Philippine News Agency
2019-03-27,-0.9694310715467591,Earth Island Institute
2019-03-27,0.9998950490968745,Shan Herald Agency for News
2019-03-26,0.9999456210652267,WFAE
2019-03-26,0.9999980819818131,Business Standard
2019-03-22,0.4083447558080598,Mining Weekly
2019-03-22,0.29839567409583306,Inquirer.net
2019-03-25,-0.9999945166646256,SowetanLIVE
2019-03-27,-0.9694310203265705,Earth Island Institute
2019-03-28,0.9997901631028365,The Wall Street Journal
2019-03-28,0.9999433273256241,Investing News Network
2019-03-27,0.9998950491433725,Shan Herald Agency for News
2019-03-29,0.9999965618268641,Азия-Плюс
2019-03-29,0.9995137759228011,Mining.com
2019-04-01,0.9999940348334897,Stuff
2019-04-01,0.9998165110284669,Otago Daily Times
2019-04-01,0.946686636233322,News24
2019-04-05,0.9999459029248536,Africa Center for Strategic Studies
2019-04-01,0.9959461131295017,World Gold Council
2019-04-05,0.9998581615922462,Stabroek News
2019-04-05,0.9998302534385629,LSE Blogs
2019-04-02,2.813829401446324e-07,The Asian Age
2019-04-02,-0.9999559213242386,The Times of India
2019-04-03,0.9999472762017332,Khmer Times
2019-04-01,0.9998011109091834,World Gold Council
2019-04-05,0.9999458944352765,The Globe and Mail
2019-04-01,0.9999940348334897,Stuff
2019-04-01,0.9998165109428605,Otago Daily Times
2019-04-01,0.996070517222641,World Gold Council
2019-04-01,0.9466866013617827,News24
2019-04-04,0.990976388443651,minesite.com
2019-04-06,0.9984072400850033,PressReader
2019-04-09,-0.09729729952548632,The Guardian
2019-04-09,0.7776776678853324,Investing News Network
2019-04-10,0.9998931901628083,ScienceDirect.com
2019-04-09,0.999650086292286,OregonLive.com
2019-04-11,0.9991603106044977,Investing News Network
2019-04-07,0.9805269652017786,smallcaps.com.au
2019-04-08,0.992322247076599,Financial Post
2019-04-08,0.9999070090750604,Miningmx
2019-04-07,0.9998958306430767,financialwatchngr.com
2019-04-16,0.9866311143054026,PBS
2019-04-16,0.9992189015875966,World Gold Council
2019-04-16,0.9859693709575768,Seeking Alpha
2019-04-12,0.9977398606073556,McKinsey & Company
2019-04-16,0.9999909252865946,Mining Review Africa
2019-04-11,0.9991603130044485,Investing News Network
2019-04-15,0.14815483955780706,Next Investors
2019-04-14,0.019798640218481073,Ghana Business News
2019-04-15,0.9597455625439509,The Retail Jeweller India
2019-04-16,0.9866311110457836,PBS
2019-04-16,0.999218902129439,World Gold Council
2019-04-16,0.9859693709575768,Seeking Alpha
2019-04-19,0.9999852913786325,Mining.com
2019-04-16,0.9999909252895505,Mining Review Africa
2019-04-21,0.9995201155588037,Jamaica Gleaner
2019-04-17,-0.9994675660050684,Punch Newspapers
2019-04-17,0.995409139225088,Borneo Post
2019-04-24,0.9987791399540349,Al Jazeera
2019-04-24,0.9145943649483288,ENACT Africa
2019-04-24,0.9999939651159082,Reuters
2019-04-23,-0.8791406750130765,CNBC
2019-04-22,0.9999327909074794,Mining.com
2019-04-22,0.0011508230547092062,MarketWatch
2019-04-24,0.9996224006190879,Australian Broadcasting Corporation
2019-04-25,0.8474977323090852,CBC
2019-04-21,0.9995201155542583,Jamaica Gleaner
2019-04-23,-0.9994021549102501,GhanaWeb
2019-04-26,-0.9998919674603373,Miningmx
2019-04-23,0.586750121763796,CBC
2019-04-24,0.9984787328368464,Punch Newspapers
2019-04-28,-0.10129393822646539,Rainforest Action Network
2019-04-29,0.9998998868150915,NAI500
2019-05-01,6.255407634907775e-05,The Asian Age
2019-04-26,-0.9998919674612466,Miningmx
2019-05-01,0.9999957725700434,Premium Times Nigeria
2019-04-28,-0.9995546929403909,The Sun Nigeria
2019-04-30,0.9999863362838987,The Citizen
2019-05-03,0.9999969424176047,Mining.com
2019-05-06,0.9998379495519286,InSight Crime
2019-05-06,0.9990680095801426,International Mining
2019-05-03,0.9946530158468112,North of 60 Mining News
2019-05-06,0.9999982161761313,Dailynewsegypt
2019-05-02,0.9998748518027847,NS Energy
2019-05-06,1.6587564915284878e-10,Mining.com
2019-05-03,0.9976650603952897,Business Standard
2019-05-02,0.9999408724707539,Deccan Herald
2019-05-04,-0.9997895079923211,SunLive
2019-05-02,0.6045288406859602,Stuff
2019-05-01,6.255278059937359e-05,The Asian Age
2019-05-04,0.9981903522668222,Inquirer.net
2019-05-02,8.231590856651872e-07,Mining.com
2019-05-01,0.9999957725698444,Premium Times Nigeria
2019-05-02,0.9973553334566249,Gulf News
2019-05-03,0.9996687602152436,PressReader
2019-05-08,0.9905857447795374,Bloomberg.com
2019-05-06,0.9998379495519286,InSight Crime
2019-05-06,0.9999003355180863,"University of Nevada, Reno"
2019-05-06,0.9990680099292034,International Mining
2019-05-06,1.6587564915284878e-10,Mining.com
2019-05-07,0.9999992526704156,News.MN
2019-05-08,-0.9719318436742084,Newsroom
2019-05-06,0.999998216174426,Dailynewsegypt
2019-05-09,0.9999937876911278,Businessday NG
2019-05-08,0.3382128186954674,Gulf News
2019-05-10,0.9482895625633919,Bloomberg.com
2019-05-08,2.5937760403713485e-09,Moneylife
2019-05-08,0.9993462147610525,Mining.com
2019-05-07,-0.999881077875249,BBC
2019-05-09,0.9999699741138356,BusinessLIVE
2019-05-07,0.9993500963362812,NewZimbabwe.com
2019-05-09,-0.02543075520146828,Distractify
2019-05-15,0.9998989268409014,ScienceDirect.com
2019-05-13,-0.9999978286270462,International Policy Digest
2019-05-13,-2.3877836340113756e-11,World Gold Council
2019-05-15,-0.477483029721298,Action Forex
2019-05-15,4.550453139194274e-11,WeeTracker
2019-05-14,0.9998717848604697,The Times of India
2019-05-16,0.9797005272843053,Graphic Online
2019-05-14,-0.869776210208607,The Courier Mail
2019-05-15,0.9998622228710697,zimlive.com
2019-05-19,0.9998319433040408,firsttuesday Journal
2019-05-20,0.996436485309255,USFunds
2019-05-17,0.9998581615922462,Stabroek News
2019-05-17,0.999881700080387,Halifax Examiner
2019-05-20,-0.93396001197099,Moneyweb
2019-05-17,0.9985142882362915,financialexpress.com
2019-05-17,-0.9962848452281721,Business Standard
