date,apple_sentiment,source
2019-01-31,0.9999809356191323,The Indian Express
2019-02-04,0.9999792965509189,Cult of Mac
2019-02-05,0.9994596187541405,9to5Mac
2019-02-05,0.9999973882218629,9to5Mac
2019-02-01,0.9998858481358783,9to5Mac
2019-02-05,0.999006368238456,9to5Mac
2019-02-04,0.9999466172571824,9to5Mac
2019-02-05,0.999996938599323,9to5Mac
2019-02-05,0.9857716980057211,bbc.co.uk
2019-02-01,0.987575495946401,Sky Sports
2019-02-03,0.9997659391327828,Sky Sports
2019-01-31,-0.9998996015527533,9News
2019-02-05,0.9999790742247794,Apple Newsroom
2019-02-08,0.9994389187567485,BBC.com
2019-02-06,0.9998255701566191,Business Insider
2019-02-05,0.9942785801597148,Fast Company
2019-02-06,0.9999201928467653,Women's Health
2019-02-08,0.0019658570334332164,PhoneArena
2019-02-06,-0.9956418492022412,The Washington Post
2019-02-07,0.9999973457548119,Maui News
2019-02-07,0.9210759462530792,East Greenwich News
2019-02-05,0.9998566970435906,Cult of Mac
2019-02-06,0.9997880389737559,Patently Apple
2019-02-08,0.9990527636372526,9to5Mac
2019-02-05,0.9998966630713717,The Verge
2019-02-05,0.9998192693593307,PhoneArena
2019-02-08,0.9924646441479424,9to5Mac
2019-02-06,0.9935037487165576,Cult of Mac
2019-02-10,0.9922208266971373,9to5Mac
2019-02-07,0.9997989882060576,9to5Mac
2019-02-06,0.07482993110347999,9to5Mac
2019-02-05,0.9994596187541405,9to5Mac
2019-02-10,0.3267258975402604,IT News Africa
2019-02-05,0.9999973882218629,9to5Mac
2019-02-06,0.9978508002745445,Notebookcheck.net
2019-02-06,0.9999959341233026,TechSpot
2019-02-08,0.9538276691231359,9to5Mac
2019-02-07,0.9899068352737216,India Today
2019-02-06,0.0015564523863432832,9to5Mac
2019-02-07,0.9999542359411355,9to5Mac
2019-02-05,0.999006368238456,9to5Mac
2019-02-10,0.9999945127994058,Firstpost
2019-02-05,0.999996938599323,9to5Mac
2019-02-06,0.9999809825871242,9to5Mac
2019-02-05,0.9857716980057211,bbc.co.uk
2019-02-06,0.9965414614611721,Letem světem Applem
2019-02-09,0.9999909704297889,Letem světem Applem
2019-02-08,0.999988762135592,Guernsey Press
2019-02-11,0.9712161417398186,Apple Newsroom
2019-02-11,0.9999024825421375,Bloomberg
2019-02-13,0.9999647840251793,Healthcare IT News
2019-02-15,0.9990675006141125,Marketing Dive
2019-02-15,0.9999749156931649,Reno Gazette Journal
2019-02-12,-0.7610935588050021,Forbes
2019-02-13,-0.9999976063806599,BuzzFeed News
2019-02-11,0.003948231141364557,Patently Apple
2019-02-13,0.9999940573748299,Naples Daily News
2019-02-11,0.9993306291155419,Hollywood Reporter
2019-02-12,0.9999840515343217,Los Angeles Daily News
2019-02-11,0.9957252223787573,The Economic Times
2019-02-12,0.9998106994288765,AppleInsider
2019-02-15,0.9972593699028134,Victor Valley News - VVNG
2019-02-13,0.9997305715611235,9to5Mac
2019-02-12,0.9989859533530231,Cult of Mac
2019-02-15,0.9998308428505929,Patently Apple
2019-02-13,0.9999928715386964,Cult of Mac
2019-02-14,-0.996319384960038,9to5Mac
2019-02-15,0.9989570190191143,9to5Mac
2019-02-10,0.9922208266971373,9to5Mac
2019-02-12,0.9999113443062557,iPhone in Canada
2019-02-13,0.9340959150035997,9to5Mac
2019-02-10,0.3267258975402604,IT News Africa
2019-02-14,0.9971892082503776,9to5Mac
2019-02-15,0.999931778606196,9to5Mac
2019-02-14,0.9999768739783644,9to5Mac
2019-02-13,0.9998519741265218,9to5Mac
2019-02-10,0.9999945127994058,Firstpost
2019-02-11,5.846718998230309e-11,9to5Mac
2019-02-12,0.9491843407912669,India Today
2019-02-14,0.999902779605521,BBC.com
2019-02-13,-0.9715604963612399,Daily Mail
2019-02-14,0.9998188975369661,The Music Network
2019-02-13,0.9999578490155432,The Sun
2019-02-12,0.9999341759948533,Liverpool Echo
2019-02-13,-0.9999912186348854,PhoneArena
2019-02-18,0.9999950384408398,Apple Newsroom
2019-02-20,0.9876327720423377,AppleInsider
2019-02-15,0.9990675006141125,Marketing Dive
2019-02-15,0.9999749156931649,Reno Gazette Journal
2019-02-19,0.9999301566132476,MacRumors
2019-02-18,0.9998740906919547,Wareable
2019-02-15,0.9998308428505929,Patently Apple
2019-02-15,0.9972593699028134,Victor Valley News - VVNG
2019-02-18,0.9999565682139292,PhoneArena
2019-02-17,0.999999452950224,9to5Mac
2019-02-20,-0.2130640926008429,Cult of Mac
2019-02-16,0.9999813683643074,HipHopDX
2019-02-17,0.9999890929699421,Patently Apple
2019-02-19,0.9868380780163514,AppleInsider
2019-02-15,0.9989570190191143,9to5Mac
2019-02-16,0.9999976598704308,9to5Mac
2019-02-15,0.999931778606196,9to5Mac
2019-02-19,0.9995655836009266,Patently Apple
2019-02-16,0.0,Firstpost
2019-02-19,0.9998397593693182,Arab News
2019-02-20,0.9995501764309219,The Sun
2019-02-19,0.9988835206763162,TechNave
2019-02-18,0.9999048819371991,TechNave
2019-02-24,0.9999210567134617,The Denver Post
2019-02-20,0.9876327720423377,AppleInsider
2019-02-22,0.9968630469441523,Mobihealth News
2019-02-22,0.06802946518881627,Investopedia
2019-02-25,0.9969614500295233,Forbes
2019-02-21,-0.022735439845120855,AlphaStreet
2019-02-23,8.524486189021753e-05,Automotive News
2019-02-21,0.922883674483415,9to5Mac
2019-02-22,0.9998993911387224,TechCrunch
2019-02-22,0.9999835266478265,Patently Apple
2019-02-23,0.4858660150021987,Deadline
2019-02-25,0.9972385193478349,Gizmodo
2019-02-22,0.9998443806076864,The Mercury News
2019-02-22,0.9935510634183574,MacDailyNews
2019-02-25,0.39042951952214966,Cult of Mac
2019-02-24,0.8311413857138865,Forbes
2019-02-21,0.9767375227601419,AppleInsider
2019-02-22,0.9999990845074911,9to5Mac
2019-02-22,0.9999022760794701,Pocketnow
2019-02-20,-0.2130640926008429,Cult of Mac
2019-02-22,0.999562584693828,WFAA.com
2019-02-24,0.8665789410651235,Patently Apple
2019-02-22,-0.23234469820079198,9to5Mac
2019-02-22,-0.002545969614793813,Cult of Mac
2019-02-22,0.9999115977558368,9to5Mac
2019-02-21,0.9998185916711437,Cult of Mac
2019-02-23,0.9717342506263754,OrilliaMatters
2019-02-24,0.9888444068048237,Metro.co.uk
2019-02-20,0.9995501764309219,The Sun
2019-02-20,0.9999836211115402,The Mac Observer
2019-02-25,0.9999745023079404,Cord Cutters News
2019-02-26,2.3611812054926003e-11,Apple Newsroom
2019-02-27,0.016970860647950777,Cointelegraph
2019-02-28,0.04777458656747986,KNOE
2019-02-25,0.9969614500295233,Forbes
