date,bitcoin_sentiment,source
2019-01-15,-0.9981663985204845,Bitcoinist
2019-01-16,1.0636650837458211e-10,Bitcoinist
2019-01-17,0.9999887776714859,Bitcoin.com News
2019-01-15,0.9999978500462539,CoinCentral
2019-01-13,4.752782809512319e-13,Investing.com
2019-01-16,0.9977738073991358,Tehran Times
2019-01-17,0.872047422586993,CryptoNinjas
2019-01-16,-0.807208808574875,CoinDesk
2019-01-14,1.3783242031863424e-06,Altcoin Buzz
2019-01-13,0.9939922617081112,BeInCrypto
2019-01-13,0.9999299428891477,Bitcoinist
2019-01-15,0.9999866338990999,CryptoNinjas
2019-01-15,0.9999975619063123,HYPEBEAST
2019-01-16,0.908814594458368,Daily Mail
2019-01-14,0.9999451835930904,SWI swissinfo.ch in English
2019-01-17,0.9990749734228467,CoinDesk
2019-01-16,0.9998851803035413,Collater.al Magazine ENG
2019-01-15,-0.7143377396124172,Coinspeaker
2019-01-14,-0.9991678350128134,Blokt
2019-01-16,0.9997151810484851,CCN.com
2019-01-14,0.9995561793826819,Hyperallergic
2019-01-17,0.9999643472082494,CryptoNinjas
2019-01-17,0.9999778783899369,PCGamesN
2019-01-17,-0.9999976006311467,Express
2019-01-17,0.9994444118725577,CoinCentral
2019-01-16,0.9996333463179718,RNZ
2019-01-17,0.999972981994873,Iceland Monitor
2019-01-17,0.999987586578049,PCMag UK
2019-01-15,0.9999766928902443,EyeWitness News
2019-01-13,0.9998512049905122,Irish Tech News
2019-01-16,0.9021715266011711,Inkl
2019-01-14,0.7244538122001686,DayakDaily
2019-01-15,0.9329630791904912,MyBroadband
2019-01-15,0.981840697042061,The Fiji Times
2019-01-13,0.9994940233224932,The Tokenist
2019-01-17,0.9999811393147423,The Tokenist
2019-01-13,0.9970000054454844,CryptoVibes
2019-01-19,0.9858354581204627,Forbes
2019-01-20,0.9999304271025589,Bitcoin Magazine
2019-01-17,0.9999873535220649,Yahoo Finance
2019-01-18,0.9998621870034367,CoinDesk
2019-01-17,0.9820536630687288,GlobeNewswire
2019-01-17,0.9988734804334344,GeekWire
2019-01-19,0.966317260893737,Investor's Business Daily
2019-01-18,0.0003963323748873785,Bitcoinist
2019-01-17,0.9999308397111194,Jefferson Public Radio
2019-01-17,0.9999959473797241,BBC.com
2019-01-20,0.992729131059484,Bitcoin.com News
2019-01-18,0.9999936091701137,The Philadelphia Inquirer
2019-01-17,0.9954966084225184,TNW
2019-01-18,0.9999740175001609,Yahoo Finance
2019-01-20,-0.7352350794297425,Forbes
2019-01-18,0.9997914403150311,Bitcoin.com News
2019-01-20,0.9999922242831413,Bitcoinist
2019-01-21,0.9604489465741117,Nikkei Asia
2019-01-17,0.9999924144174308,CryptoSlate
2019-01-17,0.9999887776714859,Bitcoin.com News
2019-01-19,0.9999908924044302,Blockmanity
2019-01-21,0.9999770882416893,CoinCentral
2019-01-21,0.999977613366159,CryptoNinjas
2019-01-17,0.872047422586993,CryptoNinjas
2019-01-18,0.9999387541058395,Coinspeaker
2019-01-19,0.9998292655697119,Bitcoinist
2019-01-20,0.9998698242487489,Bitcoinist
2019-01-19,0.9999796925131115,Bitcoinist
2019-01-19,0.9999568600444135,Blockmanity
2019-01-20,-0.9999971695697439,Investing.com
2019-01-19,0.9999752167351876,Bitcoin.com News
2019-01-21,0.9999953917562158,Leaprate Forex Trading News
2019-01-17,-0.9999976006311467,Express
2019-01-18,0.9979455824992511,Daily Mail
2019-01-20,0.999993742166428,Cointelegraph
2019-01-17,0.9999643472082494,CryptoNinjas
2019-01-17,0.9999778783899369,PCGamesN
2019-01-21,-0.801832278030819,CoinCentral
2019-01-19,0.968608070410099,Daily Mail
2019-01-21,0.9995297824955325,New Zealand Herald
2019-01-18,0.9999329393961781,CryptoDaily
2019-01-20,0.9124437517421189,Gulf Business
2019-01-17,0.999972981994873,Iceland Monitor
2019-01-21,0.9998459864587185,The Sun
2019-01-17,0.999987586578049,PCMag UK
2019-01-19,0.9998756244903273,Arabian Business
2019-01-18,0.9999380415044288,CoinGeek
2019-01-18,0.9998247129224502,Gizbot
2019-01-19,0.9996662437653144,The Tokenist
2019-01-21,1.641008830659599e-14,Asia Crypto Today
2019-01-17,0.9999811393147423,The Tokenist
2019-01-23,3.819834075528662e-14,MIT News
2019-01-24,0.9837749126077503,The CPA Journal
2019-01-23,0.9918730628141532,MarketWatch
2019-01-22,0.9999952013951242,Forbes
2019-01-22,0.9998069218385294,BMC Blogs Network
2019-01-23,0.9999782757813318,CNBC
2019-01-23,0.9989418155510268,Roll Call
2019-01-23,0.99787317743152,Financial Times
2019-01-24,0.07587524089843138,Reuters
2019-01-23,0.9999549714051986,Bitcoinist
2019-01-26,0.9999891985837208,Bitcoin.com News
2019-01-23,0.9983772951541325,IG
2019-01-23,0.9999272528064955,CoinDesk
2019-01-25,3.21793833983966e-12,Crowdfund Insider
2019-01-24,0.9400932478101124,Kaspersky
2019-01-23,0.9992059166736207,Forbes
2019-01-23,0.9965556108810772,CNBC
2019-01-22,0.9522267368367252,CoinDesk
2019-01-22,0.9997709515603955,Bitcoin.com News
2019-01-22,0.9991630302612342,Cointelegraph
2019-01-21,0.9604489465741117,Nikkei Asia
2019-01-25,0.9956865433323249,CryptoSlate
2019-01-24,0.9964606936593814,Yahoo
2019-01-22,0.9956761202265838,Hidden Forces
2019-01-23,5.11198888260159e-13,Forbes
2019-01-24,0.999695122759808,Seeking Alpha
2019-01-25,0.8058129797918037,Threatpost
2019-01-22,0.9992865277807347,Bitcoinist
2019-01-23,1.6732099363147127e-05,CryptoNinjas
2019-01-22,0.5701104631074044,The New York Times
2019-01-21,0.9999770882416893,CoinCentral
2019-01-22,3.533782559643488e-13,IG
2019-01-21,0.999977613366159,CryptoNinjas
2019-01-22,0.9999718569072955,The Cryptonomist
2019-01-22,0.9937577866035356,The Indian Express
2019-01-23,0.6123903102165151,American Banker
2019-01-22,0.9996810065409677,Coin Rivet
2019-01-26,0.9999943484157507,Bitcoin.com News
2019-01-25,1.1695886891214197e-08,BTC Wires
2019-01-23,0.978248267978568,The Bell
2019-01-22,0.9998090618494051,Hello Monaco!
2019-01-23,0.8902345460173179,Financial News
2019-01-22,8.03259704767783e-06,Coinspeaker
2019-01-21,0.9999953917562158,Leaprate Forex Trading News
2019-01-23,0.9998750887889326,Cointelegraph
2019-01-23,-3.4057907334874976e-15,openPR
2019-01-21,-0.801832278030819,CoinCentral
2019-01-21,0.9995297824955325,New Zealand Herald
2019-01-22,0.9997498635524006,CryptoNinjas
2019-01-24,0.3391435731643356,Bitcoin.com News
2019-01-21,0.9998459864587185,The Sun
2019-01-22,0.9998904837113848,news.com.au
2019-01-25,-0.7526411775469988,MaltaToday
2019-01-23,0.9999558829860208,Binance
2019-01-23,-0.6778917977837352,Georgianjournal
2019-01-23,0.9999133833602797,The Sun Nigeria
2019-01-25,0.9999692018490275,SowetanLIVE
2019-01-22,7.795031003954936e-08,ChainBits
2019-01-21,1.641008830659599e-14,Asia Crypto Today
2019-01-25,0.9988507782977957,ZoneBitcoin
2019-01-24,0.4870753840555369,BlockPublisher
2019-01-25,0.9999990839303481,Blockonomi
2019-01-22,0.8353693534588833,Asia Crypto Today
2019-01-29,0.9968822890071654,The New York Times
2019-01-29,-0.956297769101428,World Gold Council
2019-01-27,0.9999968853555972,Al Jazeera English
2019-01-29,0.999939743470687,MarketWatch
2019-01-29,-0.8502159086059854,Reuters
2019-01-30,0.9999930380734874,Forbes
2019-01-28,-0.9999987889176924,Business Insider
2019-01-28,0.9781646958960005,Security Intelligence
2019-01-29,0.9992910478410381,Bitcoin.com News
2019-01-29,0.9999946493003022,TNW
2019-01-30,0.14073945342021021,ATM Marketplace
2019-01-30,0.21807191567783468,Kiosk Marketplace
2019-01-28,-0.9967866429813904,Bitcoinist
2019-01-28,0.9998883804830594,South China Morning Post
2019-01-28,-0.9989442908906065,MarketWatch
2019-01-30,0.9998530578358849,Al Jazeera English
2019-01-29,-0.9518592299912412,Bitcoin.com News
2019-01-28,0.9905985895121265,Forbes
2019-01-26,0.9999891985837208,Bitcoin.com News
2019-01-29,8.917489706222455e-15,Business Wire
2019-01-28,0.9840664742269596,TNW
2019-01-29,0.9999901826265216,CoinDesk
2019-01-28,0.9999534853501613,Bitcoin.com News
2019-01-29,0.03837585993352799,Hackaday
2019-01-28,0.9999884725910725,KQED
2019-01-30,0.9942253425866995,Yahoo Finance
2019-01-27,0.9988713728319287,코리아타임스
2019-01-30,0.9998850059690448,Cointelegraph
2019-01-28,0.9997442592619559,CryptoNinjas
2019-01-26,0.9999943484157507,Bitcoin.com News
2019-01-30,0.9999956212735908,CryptoNinjas
2019-01-29,0.9998154639811226,Bitcoin.com News
2019-01-30,7.069706398062703e-08,Binance
2019-01-27,0.9971485365980981,The Cryptonomist
2019-01-28,0.9989845937109045,Cointelegraph
2019-01-27,0.9997892558222334,OffshoreAlert
2019-01-30,0.9999437806431121,The Daily Hodl
2019-01-29,-0.998480327358246,Daily Mail
2019-01-28,0.999997820309829,CoinGeek
2019-01-29,0.9987726889669725,CNA
2019-01-29,0.9998877419730394,Tempo.co English
2019-01-30,0.9991466411687933,The Georgia Straight
2019-01-29,0.9999266144851726,Isle of Man Today
2019-01-29,0.9999263038037352,ChainBits
2019-01-28,5.747243995376187e-14,Blockonomi
2019-01-29,0.9992024650425718,24-7 Press Release
2019-01-28,3.1843470968526046e-15,Crypto Economy
2019-01-27,0.9758641417550509,BlockPublisher
2019-01-31,0.999787410849148,Journal of Accountancy
2019-01-31,0.9217959686128052,MarketWatch
2019-02-01,0.9998290520535698,MIT Technology Review
2019-01-30,0.9999930380734874,Forbes
2019-01-30,0.9998530578358849,Al Jazeera English
2019-01-31,0.9998543780235718,Inside Philanthropy
2019-01-31,0.9543823543377274,Unit 42
2019-01-31,0.9999356027376635,Business Wire
2019-02-02,0.6607498815234452,South China Morning Post
2019-01-31,0.8480305545980895,CoinDesk
2019-01-30,0.14073945342021021,ATM Marketplace
2019-02-02,0.9999000456344294,Bitcoinist
2019-01-31,0.0034218436171245528,SiliconANGLE News
2019-01-31,0.002386143282177992,Bitcoin Magazine
2019-02-02,7.826894389300634e-09,NullTX
2019-01-31,0.08564811555250906,MarketWatch
2019-01-31,0.9989470162700683,Forbes
2019-01-30,0.21807191567783468,Kiosk Marketplace
2019-01-31,0.9986922366086052,TNW
2019-01-31,2.4011574707580785e-13,IoT Analytics
2019-01-31,0.998514268379701,Forbes
2019-01-31,-0.3333137768625785,Forbes
2019-02-03,0.9999336411163501,SiliconANGLE News
2019-01-31,0.9994719907553026,dallasinnovates.com
2019-01-31,0.9994315807119994,TNW
2019-02-01,0.9999830906696939,Bitcoin Magazine
2019-01-31,-0.973046770310105,Crypto Briefing
2019-01-31,0.9999740084077995,Cointelegraph
2019-01-31,0.9999751785719905,hackernoon.com
2019-02-01,0.9999777465046852,Bitcoin.com News
2019-02-01,0.9999540393921026,Investing Haven
2019-02-01,0.9840318227295026,Unchained
2019-02-01,0.9999976446570119,Bitcoin.com News
2019-01-30,0.9942253425866995,Yahoo Finance
2019-01-31,0.9999162602186101,Mashable
2019-01-30,0.9998850059690448,Cointelegraph
2019-02-01,0.9995406560299145,iTMunch
2019-02-01,0.9999301359394144,Solitaire International
2019-01-31,0.99999162137224,Bitcoin.com News
2019-01-30,0.9999956212735908,CryptoNinjas
2019-02-01,0.9996053172010275,Bitcoin.com News
2019-01-31,0.9995799673394423,CoinGeek
2019-01-31,0.9998691629529552,CryptoNinjas
2019-01-30,7.069706398062703e-08,Binance
2019-02-01,-0.9978137399020134,Bitcoin.com News
2019-02-01,0.9999630438764788,Middle East Media Research Institute
2019-02-02,0.9999554454648213,Blockmanity
2019-01-30,0.9999437806431121,The Daily Hodl
2019-02-02,0.9999976489451443,Blockmanity
2019-02-03,0.06342235471350921,Altcoin Buzz
