,Den,Zlato: (Celosvětově)
419,2020-02-23,70.71211298207497
420,2020-02-24,97.0972297664313
421,2020-02-25,89.70939706681152
422,2020-02-26,80.21075502444324
423,2020-02-27,73.87832699619773
424,2020-02-28,79.155350353069
425,2020-02-29,80.21075502444324
426,2020-03-01,75.15151515151514
427,2020-03-02,82.77558190601668
428,2020-03-03,75.15151515151514
429,2020-03-04,74.06236275801493
430,2020-03-05,74.06236275801493
431,2020-03-06,79.50812472551603
432,2020-03-07,74.06236275801493
433,2020-03-08,65.34914361001317
434,2020-03-09,91.48880105401844
435,2020-03-10,76.24066754501537
436,2020-03-11,72.97321036451471
437,2020-03-12,81.68642951251647
438,2020-03-13,88.22134387351778
439,2020-03-14,84.95388669301713
440,2020-03-15,78.41897233201581
441,2020-03-16,104.55862977602108
442,2020-03-17,108.91523935002195
443,2020-03-18,104.55862977602108
444,2020-03-19,99.11286780851998
445,2020-03-20,90.39964866051822
446,2020-03-21,76.24066754501537
447,2020-03-22,67.52744839701361
448,2020-03-23,84.95388669301713
449,2020-03-24,86.04303908651734
450,2020-03-25,79.50812472551603
451,2020-03-26,70.79490557751427
452,2020-03-27,68.61660079051383
453,2020-03-28,65.34914361001317
454,2020-03-29,62.081686429512516
455,2020-03-30,69.70575318401404
456,2020-03-31,67.52744839701361
457,2020-04-01,61.841019733174775
458,2020-04-02,58.748968746516034
459,2020-04-03,59.779652408735615
460,2020-04-04,57.718285084296454
461,2020-04-05,52.56486677319856
462,2020-04-06,63.902387057613936
463,2020-04-07,60.810336070955195
464,2020-04-08,58.748968746516034
465,2020-04-09,59.779652408735615
466,2020-04-10,61.841019733174775
467,2020-04-11,54.62623409763772
468,2020-04-12,54.62623409763772
469,2020-04-13,65.9637543820531
470,2020-04-14,63.902387057613936
471,2020-04-15,63.902387057613936
472,2020-04-16,63.902387057613936
473,2020-04-17,65.9637543820531
474,2020-04-18,59.779652408735615
475,2020-04-19,58.748968746516034
476,2020-04-20,64.93307071983351
477,2020-04-21,65.9637543820531
478,2020-04-22,64.93307071983351
479,2020-04-23,62.871703395394356
480,2020-04-24,62.871703395394356
481,2020-04-25,61.841019733174775
482,2020-04-26,63.902387057613936
483,2020-04-27,61.841019733174775
484,2020-04-28,58.748968746516034
485,2020-04-29,59.779652408735615
486,2020-04-30,58.748968746516034
487,2020-04-30,57.41376491136794
488,2020-05-01,59.09025270758123
489,2020-05-02,57.74729241877257
490,2020-05-03,59.09025270758123
491,2020-05-04,63.11913357400722
492,2020-05-05,60.43321299638989
493,2020-05-06,61.77617328519855
494,2020-05-07,64.46209386281589
495,2020-05-08,63.11913357400722
496,2020-05-09,59.09025270758123
497,2020-05-10,55.061371841155236
498,2020-05-11,61.77617328519855
499,2020-05-12,61.77617328519855
500,2020-05-13,60.43321299638989
501,2020-05-14,57.74729241877257
502,2020-05-15,63.11913357400722
503,2020-05-16,61.77617328519855
504,2020-05-17,59.09025270758123
505,2020-05-18,64.46209386281589
506,2020-05-19,60.43321299638989
507,2020-05-20,59.09025270758123
508,2020-05-21,61.77617328519855
509,2020-05-22,59.09025270758123
510,2020-05-23,53.71841155234657
511,2020-05-24,55.061371841155236
512,2020-05-25,57.74729241877257
513,2020-05-26,60.43321299638989
514,2020-05-27,63.11913357400722
515,2020-05-28,61.77617328519855
516,2020-05-29,60.43321299638989
517,2020-05-30,59.09025270758123
518,2020-05-31,55.061371841155236
519,2020-06-01,62.55272727272727
520,2020-06-02,58.559999999999995
521,2020-06-03,63.88363636363636
522,2020-06-04,59.89090909090909
523,2020-06-05,61.22181818181818
524,2020-06-06,58.559999999999995
525,2020-06-07,62.55272727272727
526,2020-06-08,63.88363636363636
527,2020-06-09,66.54545454545455
528,2020-06-10,58.559999999999995
529,2020-06-11,59.89090909090909
530,2020-06-12,58.559999999999995
531,2020-06-13,58.559999999999995
532,2020-06-14,55.89818181818182
533,2020-06-15,58.559999999999995
534,2020-06-16,59.89090909090909
535,2020-06-17,55.89818181818182
536,2020-06-18,59.89090909090909
537,2020-06-19,57.22909090909091
538,2020-06-20,59.89090909090909
539,2020-06-21,57.22909090909091
540,2020-06-22,69.20727272727272
541,2020-06-23,62.55272727272727
542,2020-06-24,65.21454545454546
543,2020-06-25,62.55272727272727
544,2020-06-26,62.55272727272727
545,2020-06-27,65.21454545454546
546,2020-06-28,59.89090909090909
547,2020-06-29,59.89090909090909
548,2020-06-30,65.21454545454546
549,2020-07-01,66.31997607655502
550,2020-07-02,64.96650717703349
551,2020-07-03,62.25956937799043
552,2020-07-04,67.67344497607655
553,2020-07-05,62.25956937799043
554,2020-07-06,64.96650717703349
555,2020-07-07,64.96650717703349
556,2020-07-08,73.08732057416267
557,2020-07-09,70.38038277511961
558,2020-07-10,69.02691387559808
559,2020-07-11,69.02691387559808
560,2020-07-12,60.9061004784689
561,2020-07-13,64.96650717703349
562,2020-07-14,60.9061004784689
563,2020-07-15,63.61303827751196
564,2020-07-16,64.96650717703349
565,2020-07-17,64.96650717703349
566,2020-07-18,62.25956937799043
567,2020-07-19,63.61303827751196
568,2020-07-20,69.02691387559808
569,2020-07-21,75.79425837320574
570,2020-07-22,81.20813397129186
571,2020-07-23,78.5011961722488
572,2020-07-24,82.56160287081339
573,2020-07-25,85.26854066985646
574,2020-07-26,77.14772727272727
575,2020-07-27,100.1566985645933
576,2020-07-28,101.51016746411483
577,2020-07-29,98.80322966507177
578,2020-07-30,90.68241626794259
579,2020-07-31,81.20813397129186
580,2020-08-01,76.6842105263158
581,2020-08-02,74.0399274047187
582,2020-08-03,78.00635208711434
583,2020-08-04,85.93920145190563
584,2020-08-05,101.80490018148821
585,2020-08-06,129.56987295825772
586,2020-08-07,120.31488203266788
587,2020-08-08,99.16061705989111
588,2020-08-09,89.90562613430127
589,2020-08-10,100.48275862068965
590,2020-08-11,116.34845735027224
591,2020-08-12,132.2141560798548
592,2020-08-13,120.31488203266788
593,2020-08-14,108.41560798548095
594,2020-08-15,92.54990925589837
595,2020-08-16,85.93920145190563
596,2020-08-17,100.48275862068965
597,2020-08-18,99.16061705989111
598,2020-08-19,95.19419237749547
599,2020-08-20,97.83847549909257
600,2020-08-21,93.87205081669691
601,2020-08-22,81.97277676950998
602,2020-08-23,78.00635208711434
603,2020-08-24,89.90562613430127
604,2020-08-25,88.58348457350273
605,2020-08-26,89.90562613430127
606,2020-08-27,85.93920145190563
607,2020-08-28,80.65063520871144
608,2020-08-29,72.71778584392014
609,2020-08-30,70.07350272232306
610,2020-08-31,78.00635208711434
611,2020-09-01,78.44776119402985
612,2020-09-02,78.44776119402985
613,2020-09-03,75.83283582089553
614,2020-09-04,81.06268656716418
615,2020-09-05,71.91044776119404
616,2020-09-06,69.2955223880597
617,2020-09-07,74.52537313432836
618,2020-09-08,71.91044776119404
619,2020-09-09,71.91044776119404
620,2020-09-10,70.60298507462687
621,2020-09-11,70.60298507462687
622,2020-09-12,67.98805970149253
623,2020-09-13,65.3731343283582
624,2020-09-14,74.52537313432836
625,2020-09-15,69.2955223880597
626,2020-09-16,70.60298507462687
627,2020-09-17,67.98805970149253
628,2020-09-18,69.2955223880597
629,2020-09-19,62.75820895522388
630,2020-09-20,62.75820895522388
631,2020-09-21,71.91044776119404
632,2020-09-22,73.2179104477612
633,2020-09-23,77.14029850746269
634,2020-09-24,82.37014925373134
635,2020-09-25,81.06268656716418
636,2020-09-26,75.83283582089553
637,2020-09-27,66.68059701492537
638,2020-09-28,81.06268656716418
639,2020-09-29,79.75522388059701
640,2020-09-30,75.83283582089553
641,2020-10-01,75.01189060642093
642,2020-10-02,76.37574316290132
643,2020-10-03,72.28418549346017
644,2020-10-04,66.82877526753865
645,2020-10-05,76.37574316290132
646,2020-10-06,76.37574316290132
647,2020-10-07,73.64803804994055
648,2020-10-08,76.37574316290132
649,2020-10-09,77.7395957193817
650,2020-10-10,73.64803804994055
651,2020-10-11,70.92033293697979
652,2020-10-12,76.37574316290132
653,2020-10-13,75.01189060642093
654,2020-10-14,75.01189060642093
655,2020-10-15,75.01189060642093
656,2020-10-16,68.19262782401903
657,2020-10-17,68.19262782401903
658,2020-10-18,68.19262782401903
659,2020-10-19,75.01189060642093
660,2020-10-20,77.7395957193817
661,2020-10-21,77.7395957193817
662,2020-10-22,72.28418549346017
663,2020-10-23,70.92033293697979
664,2020-10-24,69.55648038049941
665,2020-10-25,61.37336504161713
666,2020-10-26,79.10344827586208
667,2020-10-27,85.92271105826397
668,2020-10-28,81.83115338882284
669,2020-10-29,76.37574316290132
670,2020-10-30,73.64803804994055
671,2020-10-31,70.92033293697979
672,2020-11-01,63.98173025255239
673,2020-11-02,78.3449758194519
674,2020-11-03,75.73347662547017
675,2020-11-04,67.89897904352497
676,2020-11-05,69.20472864051585
677,2020-11-06,77.03922622246104
678,2020-11-07,82.2622246104245
679,2020-11-08,78.3449758194519
680,2020-11-09,110.98871574422353
681,2020-11-10,101.84846856528748
682,2020-11-11,99.23696937130575
683,2020-11-12,95.31972058033314
684,2020-11-13,92.70822138635141
685,2020-11-14,77.03922622246104
686,2020-11-15,69.20472864051585
687,2020-11-16,83.56797420741536
688,2020-11-17,74.42772702847931
689,2020-11-18,74.42772702847931
690,2020-11-19,87.48522299838795
691,2020-11-20,75.73347662547017
692,2020-11-21,70.51047823750672
693,2020-11-22,67.89897904352497
694,2020-11-23,77.03922622246104
695,2020-11-24,83.56797420741536
696,2020-11-25,83.56797420741536
697,2020-11-26,80.95647501343363
698,2020-11-27,80.95647501343363
699,2020-11-28,82.2622246104245
700,2020-11-29,75.73347662547017
701,2020-11-30,92.70822138635141
702,2020-12-01,102.31211296800103
703,2020-12-02,89.34297188755019
704,2020-12-03,90.78398756315585
705,2020-12-04,86.4609405363389
706,2020-12-05,83.5789091851276
707,2020-12-06,79.25586215831066
708,2020-12-07,87.90195621194455
709,2020-12-08,85.01992486073325
710,2020-12-09,80.6968778339163
711,2020-12-10,82.13789350952196
712,2020-12-11,80.6968778339163
713,2020-12-12,79.25586215831066
714,2020-12-13,72.05078378028242
715,2020-12-14,80.6968778339163
716,2020-12-15,80.6968778339163
717,2020-12-16,74.93281513149371
718,2020-12-17,73.49179945588807
719,2020-12-18,74.93281513149371
720,2020-12-19,72.05078378028242
721,2020-12-20,70.60976810467676
722,2020-12-21,79.25586215831066
723,2020-12-22,77.81484648270501
724,2020-12-23,74.93281513149371
725,2020-12-24,80.6968778339163
726,2020-12-25,80.6968778339163
727,2020-12-26,74.93281513149371
728,2020-12-27,72.05078378028242
729,2020-12-28,86.4609405363389
730,2020-12-29,76.37383080709937
731,2020-12-29,68.27357602452821
732,2020-12-30,63.64485900591613
733,2020-12-31,65.95921751522218
734,2021-01-01,65.66469639978506
735,2021-01-02,69.312735088662
736,2021-01-03,68.0967221923697
737,2021-01-04,80.25685115529285
738,2021-01-05,75.39279957012359
739,2021-01-06,75.39279957012359
740,2021-01-07,74.17678667383126
741,2021-01-08,72.96077377753895
742,2021-01-09,77.82482536270821
743,2021-01-10,75.39279957012359
744,2021-01-11,80.25685115529285
745,2021-01-12,75.39279957012359
746,2021-01-13,74.17678667383126
747,2021-01-14,74.17678667383126
748,2021-01-15,72.96077377753895
749,2021-01-16,72.96077377753895
750,2021-01-17,66.88070929607737
751,2021-01-18,81.47286405158516
752,2021-01-19,74.17678667383126
753,2021-01-20,75.39279957012359
754,2021-01-21,74.17678667383126
755,2021-01-22,71.74476088124663
756,2021-01-23,72.96077377753895
757,2021-01-24,64.44868350349275
758,2021-01-25,70.52874798495432
759,2021-01-26,70.52874798495432
760,2021-01-27,75.39279957012359
761,2021-01-28,72.96077377753895
762,2021-01-29,71.74476088124663
763,2021-01-30,70.52874798495432
764,2021-01-31,65.66469639978506
765,2021-02-01,88.97091273821465
766,2021-02-02,92.67803410230694
767,2021-02-03,85.26379137412238
768,2021-02-04,92.67803410230694
769,2021-02-05,93.91374122367102
770,2021-02-06,91.44232698094284
771,2021-02-07,76.61384152457373
772,2021-02-08,91.44232698094284
773,2021-02-09,87.73520561685056
774,2021-02-10,84.02808425275828
775,2021-02-11,82.79237713139419
776,2021-02-12,82.79237713139419
777,2021-02-13,76.61384152457373
778,2021-02-14,72.90672016048146
779,2021-02-15,86.49949849548646
780,2021-02-16,81.5566700100301
781,2021-02-17,88.97091273821465
782,2021-02-18,93.91374122367102
783,2021-02-19,90.20661985957875
784,2021-02-20,95.14944834503511
785,2021-02-21,92.67803410230694
786,2021-02-22,97.6208625877633
787,2021-02-23,90.20661985957875
788,2021-02-24,87.73520561685056
789,2021-02-25,91.44232698094284
790,2021-02-26,96.38515546639921
791,2021-02-27,86.49949849548646
792,2021-02-28,85.26379137412238
793,2021-03-01,102.59772535804548
794,2021-03-02,105.13100252737993
795,2021-03-03,106.39764111204717
796,2021-03-04,106.39764111204717
797,2021-03-05,108.93091828138162
798,2021-03-06,107.66427969671439
799,2021-03-07,100.06444818871103
800,2021-03-08,112.73083403538331
801,2021-03-09,111.46419545071608
802,2021-03-10,106.39764111204717
803,2021-03-11,96.26453243470935
804,2021-03-12,93.73125526537488
805,2021-03-13,94.99789385004212
806,2021-03-14,84.86478517270429
807,2021-03-15,87.39806234203874
808,2021-03-16,88.66470092670598
809,2021-03-17,93.73125526537488
810,2021-03-18,92.46461668070766
811,2021-03-19,86.13142375737151
812,2021-03-20,86.13142375737151
813,2021-03-21,92.46461668070766
814,2021-03-22,126.66385846672281
815,2021-03-23,94.99789385004212
816,2021-03-24,91.19797809604043
817,2021-03-25,89.93133951137321
818,2021-03-26,88.66470092670598
819,2021-03-27,89.93133951137321
820,2021-03-28,78.53159224936815
821,2021-03-29,83.59814658803705
822,2021-03-30,102.59772535804548
823,2021-03-31,96.26453243470935
824,2021-04-01,88.70538092701118
825,2021-04-02,85.1092168353756
826,2021-04-03,74.32072456046883
827,2021-04-04,75.51944592434735
828,2021-04-05,87.50665956313266
829,2021-04-06,79.11561001598295
830,2021-04-07,76.71816728822589
831,2021-04-08,77.91688865210443
832,2021-04-09,75.51944592434735
833,2021-04-10,73.1220031965903
834,2021-04-11,69.52583910495471
835,2021-04-12,77.91688865210443
836,2021-04-13,71.92328183271178
837,2021-04-14,70.72456046883325
838,2021-04-15,76.71816728822589
839,2021-04-16,74.32072456046883
840,2021-04-17,70.72456046883325
841,2021-04-18,68.32711774107618
842,2021-04-19,76.71816728822589
843,2021-04-20,74.32072456046883
844,2021-04-21,77.91688865210443
845,2021-04-22,81.51305274374
846,2021-04-23,73.1220031965903
847,2021-04-24,74.32072456046883
848,2021-04-25,63.53223228556207
849,2021-04-26,77.91688865210443
850,2021-04-27,69.52583910495471
851,2021-04-28,70.72456046883325
852,2021-04-29,67.12839637719766
853,2021-04-30,69.52583910495471
854,2021-05-01,65.36741214057508
855,2021-05-02,65.36741214057508
856,2021-05-03,68.93290734824282
857,2021-05-04,68.93290734824282
858,2021-05-05,71.30990415335464
859,2021-05-06,73.68690095846645
860,2021-05-07,71.30990415335464
861,2021-05-08,76.06389776357828
862,2021-05-09,68.93290734824282
863,2021-05-10,74.87539936102236
864,2021-05-11,72.49840255591054
865,2021-05-12,68.93290734824282
866,2021-05-13,68.93290734824282
867,2021-05-14,73.68690095846645
868,2021-05-15,71.30990415335464
869,2021-05-16,70.12140575079873
870,2021-05-17,82.00638977635784
871,2021-05-18,74.87539936102236
872,2021-05-19,74.87539936102236
873,2021-05-20,73.68690095846645
874,2021-05-21,71.30990415335464
875,2021-05-22,67.7444089456869
876,2021-05-23,62.99041533546326
877,2021-05-24,76.06389776357828
878,2021-05-25,70.12140575079873
879,2021-05-26,78.4408945686901
880,2021-05-27,72.49840255591054
881,2021-05-28,78.4408945686901
882,2021-05-29,70.12140575079873
883,2021-05-30,67.7444089456869
884,2021-05-31,80.81789137380191
885,2021-06-01,80.88565022421525
886,2021-06-02,79.64125560538116
887,2021-06-03,75.90807174887892
888,2021-06-04,74.66367713004485
889,2021-06-05,68.44170403587444
890,2021-06-06,64.70852017937219
891,2021-06-07,74.66367713004485
892,2021-06-08,73.41928251121075
893,2021-06-09,73.41928251121075
894,2021-06-10,74.66367713004485
895,2021-06-11,73.41928251121075
896,2021-06-12,72.17488789237669
897,2021-06-13,65.95291479820628
898,2021-06-14,77.152466367713
899,2021-06-15,75.90807174887892
900,2021-06-16,74.66367713004485
901,2021-06-17,80.88565022421525
902,2021-06-18,78.39686098654708
903,2021-06-19,75.90807174887892
904,2021-06-20,73.41928251121075
905,2021-06-21,83.37443946188341
906,2021-06-22,78.39686098654708
907,2021-06-23,72.17488789237669
908,2021-06-24,68.44170403587444
909,2021-06-25,70.9304932735426
910,2021-06-26,73.41928251121075
911,2021-06-27,65.95291479820628
912,2021-06-28,73.41928251121075
913,2021-06-29,69.68609865470853
914,2021-06-30,75.90807174887892
915,2021-07-01,74.58874210224009
916,2021-07-02,70.79609419873637
917,2021-07-03,67.00344629523264
918,2021-07-04,67.00344629523264
919,2021-07-05,73.32452613440553
920,2021-07-06,72.06031016657094
921,2021-07-07,69.53187823090178
922,2021-07-08,72.06031016657094
923,2021-07-09,68.26766226306721
924,2021-07-10,73.32452613440553
925,2021-07-11,63.21079839172889
926,2021-07-12,73.32452613440553
927,2021-07-13,73.32452613440553
928,2021-07-14,65.73923032739805
929,2021-07-15,68.26766226306721
930,2021-07-16,68.26766226306721
931,2021-07-17,67.00344629523264
932,2021-07-18,61.94658242389432
933,2021-07-19,65.73923032739805
934,2021-07-20,61.94658242389432
935,2021-07-21,63.21079839172889
936,2021-07-22,61.94658242389432
937,2021-07-23,64.47501435956347
938,2021-07-24,74.58874210224009
939,2021-07-25,77.11717403790925
940,2021-07-26,80.90982194141299
941,2021-07-27,83.43825387708215
942,2021-07-28,78.38139000574384
943,2021-07-29,84.70246984491672
944,2021-07-30,78.38139000574384
945,2021-07-31,77.11717403790925
946,2021-08-01,82.14668094218416
947,2021-08-02,87.12526766595289
948,2021-08-03,79.65738758029978
949,2021-08-04,78.4127408993576
950,2021-08-05,80.90203426124198
951,2021-08-06,80.90203426124198
952,2021-08-07,99.57173447537474
953,2021-08-08,87.12526766595289
954,2021-08-09,92.10385438972162
955,2021-08-10,88.36991434689507
956,2021-08-11,82.14668094218416
957,2021-08-12,79.65738758029978
958,2021-08-13,73.43415417558886
959,2021-08-14,73.43415417558886
960,2021-08-15,64.72162740899357
961,2021-08-16,73.43415417558886
962,2021-08-17,69.70021413276231
963,2021-08-18,72.18950749464669
964,2021-08-19,68.45556745182013
965,2021-08-20,70.9448608137045
966,2021-08-21,65.96627408993577
967,2021-08-22,62.232334047109205
968,2021-08-23,70.9448608137045
969,2021-08-24,60.98768736616703
970,2021-08-25,73.43415417558886
971,2021-08-26,70.9448608137045
972,2021-08-27,68.45556745182013
973,2021-08-28,65.96627408993577
974,2021-08-28,70.22216274089938
975,2021-08-29,63.83832976445397
976,2021-08-30,72.35010706638117
977,2021-08-31,70.22216274089938
978,2021-09-01,67.29463307776561
979,2021-09-02,63.088718510405265
980,2021-09-03,65.19167579408543
981,2021-09-04,65.19167579408543
982,2021-09-05,60.98576122672508
983,2021-09-06,65.19167579408543
984,2021-09-07,65.19167579408543
985,2021-09-08,65.19167579408543
986,2021-09-09,65.19167579408543
987,2021-09-10,60.98576122672508
988,2021-09-11,60.98576122672508
989,2021-09-12,63.088718510405265
990,2021-09-13,67.29463307776561
991,2021-09-14,63.088718510405265
992,2021-09-15,60.98576122672508
993,2021-09-16,63.088718510405265
994,2021-09-17,65.19167579408543
995,2021-09-18,65.19167579408543
996,2021-09-19,60.98576122672508
997,2021-09-20,63.088718510405265
998,2021-09-21,65.19167579408543
999,2021-09-22,63.088718510405265
1000,2021-09-23,67.29463307776561
1001,2021-09-24,67.29463307776561
1002,2021-09-25,63.088718510405265
1003,2021-09-26,60.98576122672508
1004,2021-09-27,65.19167579408543
1005,2021-09-28,65.19167579408543
1006,2021-09-29,63.088718510405265
1007,2021-09-30,63.088718510405265
1008,2021-10-01,63.97330595482546
1009,2021-10-02,59.70841889117043
1010,2021-10-03,55.4435318275154
1011,2021-10-04,63.97330595482546
1012,2021-10-05,61.84086242299794
1013,2021-10-06,61.84086242299794
1014,2021-10-07,59.70841889117043
1015,2021-10-08,61.84086242299794
1016,2021-10-09,63.97330595482546
1017,2021-10-10,57.57597535934291
1018,2021-10-11,63.97330595482546
1019,2021-10-12,68.23819301848049
1020,2021-10-13,72.50308008213553
1021,2021-10-14,81.03285420944557
1022,2021-10-15,74.63552361396304
1023,2021-10-16,66.10574948665297
1024,2021-10-17,59.70841889117043
1025,2021-10-18,70.370636550308
1026,2021-10-19,66.10574948665297
1027,2021-10-20,66.10574948665297
1028,2021-10-21,74.63552361396304
1029,2021-10-22,87.43018480492813
1030,2021-10-23,70.370636550308
1031,2021-10-24,59.70841889117043
1032,2021-10-25,83.16529774127311
1033,2021-10-26,72.50308008213553
1034,2021-10-27,70.370636550308
1035,2021-10-28,70.370636550308
1036,2021-10-29,63.97330595482546
1037,2021-10-30,63.97330595482546
1038,2021-10-31,61.84086242299794
1039,2021-11-01,68.03149606299212
1040,2021-11-02,70.15748031496064
1041,2021-11-03,65.90551181102362
1042,2021-11-04,65.90551181102362
1043,2021-11-05,70.15748031496064
1044,2021-11-06,59.52755905511811
1045,2021-11-07,61.65354330708661
1046,2021-11-08,76.53543307086613
1047,2021-11-09,72.28346456692913
1048,2021-11-10,78.66141732283465
1049,2021-11-11,82.91338582677166
1050,2021-11-12,85.03937007874015
1051,2021-11-13,80.78740157480314
1052,2021-11-14,68.03149606299212
1053,2021-11-15,80.78740157480314
1054,2021-11-16,89.29133858267716
1055,2021-11-17,91.41732283464567
1056,2021-11-18,106.2992125984252
1057,2021-11-19,87.16535433070867
1058,2021-11-20,74.40944881889764
1059,2021-11-21,68.03149606299212
1060,2021-11-22,82.91338582677166
