,Den,iPhone
275,2019-10-02,82.11702127659574
276,2019-10-03,80.16185410334346
277,2019-10-04,87.98252279635257
278,2019-10-05,87.98252279635257
279,2019-10-06,97.75835866261397
280,2019-10-07,84.07218844984801
281,2019-10-08,80.16185410334346
282,2019-10-09,86.02735562310029
283,2019-10-10,82.11702127659574
284,2019-10-11,78.20668693009118
285,2019-10-12,93.8480243161094
286,2019-10-13,93.8480243161094
287,2019-10-14,84.07218844984801
288,2019-10-15,84.07218844984801
289,2019-10-16,80.16185410334346
290,2019-10-17,78.20668693009118
291,2019-10-18,84.07218844984801
292,2019-10-19,89.93768996960485
293,2019-10-20,89.93768996960485
294,2019-10-21,80.16185410334346
295,2019-10-22,80.16185410334346
296,2019-10-23,76.2515197568389
297,2019-10-24,74.29635258358662
298,2019-10-25,78.20668693009118
299,2019-10-26,86.02735562310029
300,2019-10-27,82.11702127659574
301,2019-10-28,74.29635258358662
302,2019-10-29,78.20668693009118
303,2019-10-30,76.2515197568389
304,2019-10-31,76.2515197568389
305,2019-11-01,74.88
306,2019-11-02,82.36799999999998
307,2019-11-03,82.36799999999998
308,2019-11-04,74.88
309,2019-11-05,74.88
310,2019-11-06,69.26399999999998
311,2019-11-07,73.008
312,2019-11-08,71.136
313,2019-11-09,80.49599999999998
314,2019-11-10,78.62399999999998
315,2019-11-11,71.136
316,2019-11-12,73.008
317,2019-11-13,71.136
318,2019-11-14,74.88
319,2019-11-15,73.008
320,2019-11-16,78.62399999999998
321,2019-11-17,91.728
322,2019-11-18,73.008
323,2019-11-19,67.39199999999998
324,2019-11-20,71.136
325,2019-11-21,74.88
326,2019-11-22,74.88
327,2019-11-23,86.11199999999998
328,2019-11-24,84.23999999999998
329,2019-11-25,78.62399999999998
330,2019-11-26,78.62399999999998
331,2019-11-27,80.49599999999998
332,2019-11-28,80.49599999999998
333,2019-11-29,101.08799999999998
334,2019-11-30,93.59999999999998
335,2019-12-01,91.13030528667163
336,2019-12-02,83.37453462397617
337,2019-12-03,79.49664929262845
338,2019-12-04,77.55770662695458
339,2019-12-05,77.55770662695458
340,2019-12-06,79.49664929262845
341,2019-12-07,83.37453462397617
342,2019-12-08,89.19136262099777
343,2019-12-09,77.55770662695458
344,2019-12-10,73.67982129560686
345,2019-12-11,71.74087862993298
346,2019-12-12,75.61876396128072
347,2019-12-13,73.67982129560686
348,2019-12-14,85.31347728965004
349,2019-12-15,87.2524199553239
350,2019-12-16,79.49664929262845
351,2019-12-17,77.55770662695458
352,2019-12-18,75.61876396128072
353,2019-12-19,75.61876396128072
354,2019-12-20,79.49664929262845
355,2019-12-21,91.13030528667163
356,2019-12-22,87.2524199553239
357,2019-12-23,81.43559195830231
358,2019-12-24,87.2524199553239
359,2019-12-25,116.33655994043187
360,2019-12-26,104.70290394638867
361,2019-12-27,95.00819061801936
362,2019-12-28,93.06924795234549
363,2019-12-29,87.2524199553239
364,2019-12-30,85.31347728965004
365,2019-12-31,81.43559195830231
366,2020-01-01,83.88235294117646
367,2020-01-02,80.23529411764706
368,2020-01-03,80.23529411764706
369,2020-01-04,82.05882352941177
370,2020-01-05,78.41176470588235
371,2020-01-06,72.94117647058825
372,2020-01-07,74.76470588235294
373,2020-01-08,71.11764705882354
374,2020-01-09,69.29411764705883
375,2020-01-10,71.11764705882354
376,2020-01-11,72.94117647058825
377,2020-01-12,76.58823529411765
378,2020-01-13,63.8235294117647
379,2020-01-14,65.6470588235294
380,2020-01-15,67.47058823529412
381,2020-01-16,65.6470588235294
382,2020-01-17,67.47058823529412
383,2020-01-18,74.76470588235294
384,2020-01-19,71.11764705882354
385,2020-01-20,65.6470588235294
386,2020-01-21,67.47058823529412
387,2020-01-22,65.6470588235294
388,2020-01-23,65.6470588235294
389,2020-01-24,63.8235294117647
390,2020-01-25,74.76470588235294
391,2020-01-26,71.11764705882354
392,2020-01-27,62.0
393,2020-01-28,62.0
394,2020-01-29,58.35294117647059
395,2020-01-30,60.1764705882353
396,2020-01-31,63.8235294117647
397,2020-02-01,69.29354207436398
398,2020-02-02,71.16634050880627
399,2020-02-03,61.80234833659491
400,2020-02-04,61.80234833659491
401,2020-02-05,61.80234833659491
402,2020-02-06,63.67514677103718
403,2020-02-07,61.80234833659491
404,2020-02-08,71.16634050880627
405,2020-02-09,73.03913894324853
406,2020-02-10,63.67514677103718
407,2020-02-11,63.67514677103718
408,2020-02-12,67.42074363992172
409,2020-02-13,63.67514677103718
410,2020-02-14,63.67514677103718
411,2020-02-15,71.16634050880627
412,2020-02-16,71.16634050880627
413,2020-02-17,67.42074363992172
414,2020-02-18,65.54794520547945
415,2020-02-19,65.54794520547945
416,2020-02-20,67.42074363992172
417,2020-02-21,61.80234833659491
418,2020-02-22,67.42074363992172
419,2020-02-23,71.16634050880627
420,2020-02-24,65.54794520547945
421,2020-02-25,63.67514677103718
422,2020-02-26,61.80234833659491
423,2020-02-27,63.67514677103718
424,2020-02-28,61.80234833659491
425,2020-02-29,71.16634050880627
426,2020-03-01,73.32931726907631
427,2020-03-02,63.68072289156627
428,2020-03-03,65.61044176706828
429,2020-03-04,63.68072289156627
430,2020-03-05,63.68072289156627
431,2020-03-06,65.61044176706828
432,2020-03-07,73.32931726907631
433,2020-03-08,71.3995983935743
434,2020-03-09,63.68072289156627
435,2020-03-10,59.82128514056225
436,2020-03-11,57.89156626506025
437,2020-03-12,55.96184738955824
438,2020-03-13,55.96184738955824
439,2020-03-14,67.54016064257029
440,2020-03-15,65.61044176706828
441,2020-03-16,55.96184738955824
442,2020-03-17,57.89156626506025
443,2020-03-18,57.89156626506025
