,Den,iMac
164,2019-06-14,74.39759036144576
165,2019-06-15,67.5301204819277
166,2019-06-16,80.12048192771083
167,2019-06-17,77.8313253012048
168,2019-06-18,77.8313253012048
169,2019-06-19,67.5301204819277
170,2019-06-20,81.26506024096385
171,2019-06-21,64.09638554216866
172,2019-06-22,67.5301204819277
173,2019-06-23,69.81927710843372
174,2019-06-24,67.5301204819277
175,2019-06-25,73.25301204819276
176,2019-06-26,72.10843373493975
177,2019-06-27,73.25301204819276
178,2019-06-28,70.96385542168673
179,2019-06-29,72.10843373493975
180,2019-06-30,75.54216867469879
181,2019-07-01,69.21263482280432
182,2019-07-02,72.5084745762712
183,2019-07-03,67.01540832049307
184,2019-07-04,67.01540832049307
185,2019-07-05,65.91679506933745
186,2019-07-06,70.31124807395994
