date,weighted_average_sentiment
2019-06-25,0.8328833763512277
2019-06-26,0.8094380966190029
2019-06-27,0.882157393912729
2019-06-28,0.8154384771744991
2019-06-29,0.5628446273911447
2019-06-30,0.7405060235304115
2019-07-01,0.5950440954631045
2019-07-02,0.6254103550554057
2019-07-03,0.7852096971927385
2019-07-04,0.7419619845904386
2019-07-05,0.6204130655965182
2019-07-06,0.6716703013780996
2019-07-07,0.7374086515780712
2019-07-08,0.6870748562559945
2019-07-09,0.7848160175704476
2019-07-10,0.8759647446403757
2019-07-11,0.7719554657859521
2019-07-12,0.6568886174584653
2019-07-13,0.536542719195821
2019-07-14,0.8033524201250872
2019-07-15,0.40448858615083716
2019-07-16,0.8634867364084593
2019-07-17,0.7941693037532742
2019-07-18,0.8213403381746401
2019-07-19,0.8071819664096084
