,Den,Kryptoměna: (Celosvětově)
393,2020-01-28,7.254545454545456
394,2020-01-29,7.509090909090911
395,2020-01-30,7.6363636363636385
396,2020-01-31,6.61818181818182
397,2020-02-01,6.3171382808328875
398,2020-02-02,6.564869193806726
399,2020-02-03,6.8126001067805655
400,2020-02-04,7.431927389215162
401,2020-02-05,7.927389215162839
402,2020-02-06,8.175120128136678
403,2020-02-07,7.679658302189001
404,2020-02-08,7.184196476241324
405,2020-02-09,8.175120128136678
406,2020-02-10,7.927389215162839
407,2020-02-11,9.413774693005871
408,2020-02-12,12.386545648691937
409,2020-02-13,11.271756540309664
410,2020-02-14,9.289909236518954
411,2020-02-15,8.422851041110517
412,2020-02-16,8.918312867058194
413,2020-02-17,8.546716497597437
414,2020-02-18,8.670581954084355
415,2020-02-19,8.794447410571276
416,2020-02-20,8.546716497597437
417,2020-02-21,7.308061932728243
418,2020-02-22,6.3171382808328875
419,2020-02-23,6.936465563267484
420,2020-02-24,7.184196476241324
421,2020-02-25,7.184196476241324
422,2020-02-26,7.8035237586759205
423,2020-02-27,7.431927389215162
424,2020-02-28,7.308061932728243
425,2020-02-29,6.06940736785905
426,2020-03-01,6.522882693319305
427,2020-03-02,7.044713308784849
428,2020-03-03,7.305628616517621
429,2020-03-04,11.871646501841136
430,2020-03-05,9.914781693845343
431,2020-03-06,7.6970015781167795
432,2020-03-07,7.044713308784849
433,2020-03-08,7.044713308784849
434,2020-03-09,9.262493424513414
435,2020-03-10,7.6970015781167795
436,2020-03-11,6.7837980010520775
437,2020-03-12,11.871646501841136
438,2020-03-13,12.654392425039452
439,2020-03-14,8.871120462914254
440,2020-03-15,8.349289847448711
441,2020-03-16,8.610205155181482
442,2020-03-17,6.914255654918463
443,2020-03-18,7.305628616517621
444,2020-03-19,8.349289847448711
445,2020-03-20,8.349289847448711
446,2020-03-21,7.566543924250394
447,2020-03-22,6.522882693319305
448,2020-03-23,7.175170962651236
449,2020-03-24,7.566543924250394
450,2020-03-25,7.175170962651236
451,2020-03-26,6.653340347185691
452,2020-03-27,7.175170962651236
453,2020-03-28,6.914255654918463
454,2020-03-29,7.6970015781167795
455,2020-03-30,7.044713308784849
456,2020-03-31,7.044713308784849
457,2020-04-01,6.609179415855353
458,2020-04-02,7.098748261474269
459,2020-04-03,6.609179415855353
460,2020-04-04,6.853963838664811
461,2020-04-05,6.731571627260083
462,2020-04-06,8.0778859527121
463,2020-04-07,7.95549374130737
464,2020-04-08,8.200278164116828
465,2020-04-09,7.710709318497913
466,2020-04-10,8.322670375521556
467,2020-04-11,7.465924895688455
468,2020-04-12,7.588317107093183
469,2020-04-13,6.97635605006954
470,2020-04-14,7.221140472878997
471,2020-04-15,7.95549374130737
472,2020-04-16,7.710709318497913
473,2020-04-17,7.710709318497913
474,2020-04-18,7.710709318497913
475,2020-04-19,8.0778859527121
476,2020-04-20,7.833101529902642
477,2020-04-21,7.588317107093183
478,2020-04-22,8.0778859527121
479,2020-04-23,7.95549374130737
480,2020-04-24,7.833101529902642
481,2020-04-25,8.322670375521556
482,2020-04-26,8.567454798331013
483,2020-04-27,8.567454798331013
484,2020-04-28,7.343532684283727
485,2020-04-29,10.036161335187758
486,2020-04-30,11.13769123783032
487,2020-04-30,12.15020862308762
488,2020-05-01,9.10421052631579
489,2020-05-02,9.397894736842106
490,2020-05-03,8.810526315789474
491,2020-05-04,9.10421052631579
492,2020-05-05,8.810526315789474
493,2020-05-06,9.10421052631579
494,2020-05-07,10.278947368421054
495,2020-05-08,10.866315789473685
496,2020-05-09,9.985263157894737
497,2020-05-10,12.04105263157895
498,2020-05-11,9.985263157894737
499,2020-05-12,9.691578947368422
500,2020-05-13,9.10421052631579
501,2020-05-14,9.397894736842106
502,2020-05-15,8.516842105263159
503,2020-05-16,8.810526315789474
504,2020-05-17,9.10421052631579
505,2020-05-18,9.10421052631579
506,2020-05-19,8.516842105263159
507,2020-05-20,8.810526315789474
508,2020-05-21,8.223157894736843
509,2020-05-22,8.223157894736843
510,2020-05-23,8.516842105263159
511,2020-05-24,8.516842105263159
512,2020-05-25,8.810526315789474
513,2020-05-26,8.516842105263159
514,2020-05-27,7.929473684210526
515,2020-05-28,7.929473684210526
516,2020-05-29,7.929473684210526
517,2020-05-30,7.929473684210526
518,2020-05-31,7.929473684210526
519,2020-06-01,7.878787878787879
520,2020-06-02,9.393939393939394
521,2020-06-03,8.484848484848484
522,2020-06-04,9.090909090909092
523,2020-06-05,6.969696969696971
524,2020-06-06,7.575757575757576
525,2020-06-07,8.181818181818182
526,2020-06-08,8.787878787878789
527,2020-06-09,8.484848484848484
528,2020-06-10,8.787878787878789
529,2020-06-11,8.484848484848484
530,2020-06-12,8.181818181818182
531,2020-06-13,7.575757575757576
532,2020-06-14,7.2727272727272725
533,2020-06-15,8.181818181818182
534,2020-06-16,7.575757575757576
535,2020-06-17,7.878787878787879
536,2020-06-18,7.575757575757576
537,2020-06-19,6.969696969696971
538,2020-06-20,6.969696969696971
539,2020-06-21,7.575757575757576
540,2020-06-22,8.484848484848484
541,2020-06-23,8.181818181818182
542,2020-06-24,7.878787878787879
543,2020-06-25,7.575757575757576
544,2020-06-26,9.696969696969697
545,2020-06-27,7.575757575757576
546,2020-06-28,8.484848484848484
547,2020-06-29,7.2727272727272725
548,2020-06-30,6.969696969696971
549,2020-07-01,7.454909819639277
550,2020-07-02,8.076152304609217
551,2020-07-03,7.454909819639277
552,2020-07-04,7.765531062124247
553,2020-07-05,7.454909819639277
554,2020-07-06,7.765531062124247
555,2020-07-07,9.318637274549097
556,2020-07-08,12.114228456913827
557,2020-07-09,10.250501002004007
558,2020-07-10,8.697394789579157
559,2020-07-11,8.697394789579157
560,2020-07-12,7.454909819639277
561,2020-07-13,9.629258517034067
562,2020-07-14,9.939879759519037
563,2020-07-15,10.871743486973946
564,2020-07-16,10.250501002004007
565,2020-07-17,9.008016032064127
566,2020-07-18,18.326653306613224
567,2020-07-19,8.697394789579157
568,2020-07-20,9.008016032064127
569,2020-07-21,9.318637274549097
570,2020-07-22,9.939879759519037
571,2020-07-23,10.561122244488978
572,2020-07-24,9.939879759519037
573,2020-07-25,10.250501002004007
574,2020-07-26,11.492985971943886
575,2020-07-27,12.424849699398797
576,2020-07-28,12.114228456913827
577,2020-07-29,12.114228456913827
578,2020-07-30,11.803607214428856
579,2020-07-31,11.803607214428856
580,2020-08-01,13.58095238095238
581,2020-08-02,14.171428571428569
582,2020-08-03,12.695238095238095
583,2020-08-04,11.809523809523808
584,2020-08-05,10.923809523809524
585,2020-08-06,11.514285714285714
586,2020-08-07,11.219047619047618
587,2020-08-08,11.514285714285714
588,2020-08-09,12.104761904761904
589,2020-08-10,12.104761904761904
590,2020-08-11,12.104761904761904
591,2020-08-12,11.809523809523808
592,2020-08-13,12.99047619047619
593,2020-08-14,12.99047619047619
594,2020-08-15,12.99047619047619
595,2020-08-16,13.876190476190477
596,2020-08-17,14.171428571428569
597,2020-08-18,12.99047619047619
598,2020-08-19,11.809523809523808
599,2020-08-20,12.695238095238095
600,2020-08-21,11.809523809523808
601,2020-08-22,11.809523809523808
602,2020-08-23,11.219047619047618
603,2020-08-24,11.219047619047618
604,2020-08-25,11.514285714285714
605,2020-08-26,11.219047619047618
606,2020-08-27,9.447619047619048
607,2020-08-28,10.333333333333332
608,2020-08-29,10.333333333333332
609,2020-08-30,12.104761904761904
610,2020-08-31,10.923809523809524
611,2020-09-01,11.916583912611717
612,2020-09-02,12.512413108242304
613,2020-09-03,13.10824230387289
614,2020-09-04,12.214498510427012
615,2020-09-05,11.320754716981131
616,2020-09-06,10.724925521350546
617,2020-09-07,9.533267130089374
618,2020-09-08,9.533267130089374
619,2020-09-09,14.597815292949353
620,2020-09-10,9.831181727904667
621,2020-09-11,9.235352532274081
622,2020-09-12,8.937437934458789
623,2020-09-13,11.320754716981131
624,2020-09-14,9.533267130089374
625,2020-09-15,9.533267130089374
626,2020-09-16,9.533267130089374
627,2020-09-17,9.533267130089374
628,2020-09-18,9.831181727904667
629,2020-09-19,8.937437934458789
630,2020-09-20,9.533267130089374
631,2020-09-21,10.12909632571996
632,2020-09-22,9.831181727904667
633,2020-09-23,9.831181727904667
634,2020-09-24,8.937437934458789
635,2020-09-25,8.341608738828201
636,2020-09-26,7.7457795431976155
637,2020-09-27,7.14995034756703
638,2020-09-28,7.7457795431976155
639,2020-09-29,9.533267130089374
640,2020-09-30,9.533267130089374
641,2020-10-01,8.675512665862485
642,2020-10-02,8.376357056694813
643,2020-10-03,7.478890229191797
644,2020-10-04,7.179734620024124
645,2020-10-05,8.974668275030156
646,2020-10-06,8.675512665862485
647,2020-10-07,7.478890229191797
648,2020-10-08,7.778045838359469
649,2020-10-09,7.179734620024124
650,2020-10-10,7.478890229191797
651,2020-10-11,7.478890229191797
652,2020-10-12,7.478890229191797
653,2020-10-13,7.179734620024124
654,2020-10-14,7.179734620024124
655,2020-10-15,7.179734620024124
656,2020-10-16,7.478890229191797
657,2020-10-17,7.179734620024124
658,2020-10-18,7.478890229191797
659,2020-10-19,7.179734620024124
660,2020-10-20,7.778045838359469
661,2020-10-21,10.171290711700845
662,2020-10-22,10.470446320868517
663,2020-10-23,8.974668275030156
664,2020-10-24,7.778045838359469
665,2020-10-25,8.077201447527141
666,2020-10-26,8.077201447527141
667,2020-10-27,9.5729794933655
668,2020-10-28,8.675512665862485
669,2020-10-29,8.376357056694813
670,2020-10-30,7.478890229191797
671,2020-10-31,7.478890229191797
672,2020-11-01,7.447916666666666
673,2020-11-02,7.734375
674,2020-11-03,7.447916666666666
675,2020-11-04,6.302083333333334
676,2020-11-05,8.020833333333334
677,2020-11-06,8.880208333333334
678,2020-11-07,9.166666666666666
679,2020-11-08,8.307291666666666
680,2020-11-09,8.59375
681,2020-11-10,9.453125
682,2020-11-11,9.739583333333334
683,2020-11-12,8.880208333333334
684,2020-11-13,9.453125
685,2020-11-14,8.59375
686,2020-11-15,8.59375
687,2020-11-16,10.026041666666666
688,2020-11-17,10.026041666666666
689,2020-11-18,12.317708333333334
690,2020-11-19,11.171875
691,2020-11-20,12.317708333333334
692,2020-11-21,14.609375
693,2020-11-22,14.036458333333332
694,2020-11-23,15.755208333333332
695,2020-11-24,19.765625
696,2020-11-25,16.614583333333332
697,2020-11-26,16.901041666666668
698,2020-11-27,11.458333333333334
699,2020-11-28,12.890625000000002
700,2020-11-29,12.03125
701,2020-11-30,13.463541666666668
702,2020-12-01,13.964484266206078
703,2020-12-02,12.254547417282886
704,2020-12-03,12.824526366923951
705,2020-12-04,12.254547417282886
706,2020-12-05,12.539536892103419
707,2020-12-06,11.969557942462353
708,2020-12-07,12.254547417282886
709,2020-12-08,11.969557942462353
710,2020-12-09,12.254547417282886
711,2020-12-10,10.829600043180225
712,2020-12-11,10.829600043180225
713,2020-12-12,11.114589518000757
714,2020-12-13,11.39957899282129
715,2020-12-14,10.829600043180225
716,2020-12-15,11.114589518000757
717,2020-12-16,13.109515841744482
718,2020-12-17,19.66427376261672
719,2020-12-18,15.38943164030874
720,2020-12-19,28.498947482053218
721,2020-12-20,17.09936848923193
722,2020-12-21,15.674421115129272
723,2020-12-22,14.534463215847142
724,2020-12-23,15.959410589949803
725,2020-12-24,14.534463215847142
726,2020-12-25,15.674421115129272
727,2020-12-26,17.09936848923193
728,2020-12-27,19.66427376261672
729,2020-12-28,18.524315863334593
730,2020-12-29,19.949263237437254
731,2020-12-29,19.949263237437254
732,2020-12-30,19.949263237437254
733,2020-12-31,16.32212446699412
734,2021-01-01,20.17005545286506
735,2021-01-02,29.338262476894638
736,2021-01-03,36.672828096118295
737,2021-01-04,31.17190388170055
738,2021-01-05,29.338262476894638
739,2021-01-06,34.83918669131238
740,2021-01-07,42.17375231053604
741,2021-01-08,38.50646950092421
742,2021-01-09,36.672828096118295
743,2021-01-10,42.17375231053604
744,2021-01-11,38.50646950092421
745,2021-01-12,29.338262476894638
746,2021-01-13,27.504621072088725
747,2021-01-14,31.17190388170055
748,2021-01-15,29.338262476894638
749,2021-01-16,29.338262476894638
750,2021-01-17,27.504621072088725
751,2021-01-18,25.670979667282804
752,2021-01-19,27.504621072088725
753,2021-01-20,25.670979667282804
754,2021-01-21,25.670979667282804
755,2021-01-22,25.670979667282804
756,2021-01-23,23.83733826247689
757,2021-01-24,23.83733826247689
758,2021-01-25,23.83733826247689
759,2021-01-26,22.003696857670974
760,2021-01-27,23.83733826247689
761,2021-01-28,31.17190388170055
762,2021-01-29,67.84473197781885
763,2021-01-30,47.67467652495378
764,2021-01-31,44.00739371534195
765,2021-02-01,41.839490445859866
766,2021-02-02,36.38216560509554
767,2021-02-03,38.20127388535032
768,2021-02-04,45.47770700636943
769,2021-02-05,49.115923566878976
770,2021-02-06,47.2968152866242
771,2021-02-07,52.754140127388524
772,2021-02-08,54.57324840764331
773,2021-02-09,63.6687898089172
774,2021-02-10,56.392356687898086
775,2021-02-11,58.21146496815286
776,2021-02-12,56.392356687898086
777,2021-02-13,58.21146496815286
778,2021-02-14,56.392356687898086
779,2021-02-15,52.754140127388524
780,2021-02-16,47.2968152866242
781,2021-02-17,50.93503184713375
782,2021-02-18,50.93503184713375
783,2021-02-19,56.392356687898086
784,2021-02-20,65.48789808917196
785,2021-02-21,61.84968152866241
786,2021-02-22,58.21146496815286
787,2021-02-23,58.21146496815286
788,2021-02-24,43.65859872611464
789,2021-02-25,43.65859872611464
790,2021-02-26,40.02038216560509
791,2021-02-27,41.839490445859866
792,2021-02-28,41.839490445859866
793,2021-03-01,38.240559440559444
794,2021-03-02,38.240559440559444
795,2021-03-03,38.240559440559444
796,2021-03-04,36.41958041958042
797,2021-03-05,32.77762237762238
798,2021-03-06,32.77762237762238
799,2021-03-07,38.240559440559444
800,2021-03-08,34.598601398601396
801,2021-03-09,41.88251748251748
802,2021-03-10,38.240559440559444
803,2021-03-11,40.06153846153846
804,2021-03-12,43.7034965034965
805,2021-03-13,50.987412587412585
806,2021-03-14,50.987412587412585
807,2021-03-15,49.16643356643357
808,2021-03-16,49.16643356643357
809,2021-03-17,43.7034965034965
810,2021-03-18,45.52447552447553
811,2021-03-19,41.88251748251748
812,2021-03-20,45.52447552447553
813,2021-03-21,45.52447552447553
814,2021-03-22,45.52447552447553
815,2021-03-23,40.06153846153846
816,2021-03-24,41.88251748251748
817,2021-03-25,40.06153846153846
818,2021-03-26,38.240559440559444
819,2021-03-27,41.88251748251748
820,2021-03-28,41.88251748251748
