,Den,Bitcoin: (Celosvětově)
384,2020-01-19,20.467181467181472
385,2020-01-20,18.193050193050194
386,2020-01-21,18.193050193050194
387,2020-01-22,18.193050193050194
388,2020-01-23,18.193050193050194
389,2020-01-24,18.193050193050194
390,2020-01-25,15.918918918918921
391,2020-01-26,15.918918918918921
392,2020-01-27,18.193050193050194
393,2020-01-28,20.467181467181472
394,2020-01-29,20.467181467181472
395,2020-01-30,20.467181467181472
396,2020-01-31,20.467181467181472
397,2020-02-01,17.313432835820898
398,2020-02-02,17.313432835820898
399,2020-02-03,17.313432835820898
400,2020-02-04,17.313432835820898
401,2020-02-05,19.47761194029851
402,2020-02-06,21.64179104477612
403,2020-02-07,19.47761194029851
404,2020-02-08,19.47761194029851
405,2020-02-09,23.80597014925373
406,2020-02-10,21.64179104477612
407,2020-02-11,21.64179104477612
408,2020-02-12,23.80597014925373
409,2020-02-13,23.80597014925373
410,2020-02-14,19.47761194029851
411,2020-02-15,19.47761194029851
412,2020-02-16,19.47761194029851
413,2020-02-17,21.64179104477612
414,2020-02-18,19.47761194029851
415,2020-02-19,21.64179104477612
416,2020-02-20,21.64179104477612
417,2020-02-21,19.47761194029851
418,2020-02-22,17.313432835820898
419,2020-02-23,17.313432835820898
420,2020-02-24,19.47761194029851
421,2020-02-25,17.313432835820898
422,2020-02-26,21.64179104477612
423,2020-02-27,21.64179104477612
424,2020-02-28,21.64179104477612
425,2020-02-29,17.313432835820898
426,2020-03-01,17.4911838790932
427,2020-03-02,19.677581863979853
428,2020-03-03,19.677581863979853
429,2020-03-04,17.4911838790932
430,2020-03-05,19.677581863979853
431,2020-03-06,19.677581863979853
432,2020-03-07,17.4911838790932
433,2020-03-08,19.677581863979853
434,2020-03-09,30.609571788413103
435,2020-03-10,24.05037783375315
436,2020-03-11,21.8639798488665
437,2020-03-12,43.727959697733
438,2020-03-13,63.40554156171285
439,2020-03-14,43.727959697733
440,2020-03-15,32.795969773299745
441,2020-03-16,41.54156171284635
442,2020-03-17,32.795969773299745
443,2020-03-18,30.609571788413103
444,2020-03-19,34.9823677581864
445,2020-03-20,34.9823677581864
446,2020-03-21,30.609571788413103
447,2020-03-22,26.236775818639803
448,2020-03-23,28.42317380352645
449,2020-03-24,28.42317380352645
450,2020-03-25,26.236775818639803
451,2020-03-26,26.236775818639803
452,2020-03-27,24.05037783375315
453,2020-03-28,24.05037783375315
454,2020-03-29,21.8639798488665
455,2020-03-30,24.05037783375315
456,2020-03-31,21.8639798488665
457,2020-04-01,21.294176207068194
458,2020-04-02,23.423593827775015
459,2020-04-03,23.423593827775015
460,2020-04-04,21.294176207068194
461,2020-04-05,19.164758586361376
462,2020-04-06,23.423593827775015
463,2020-04-07,23.423593827775015
464,2020-04-08,21.294176207068194
465,2020-04-09,21.294176207068194
466,2020-04-10,23.423593827775015
467,2020-04-11,21.294176207068194
468,2020-04-12,21.294176207068194
469,2020-04-13,21.294176207068194
470,2020-04-14,19.164758586361376
471,2020-04-15,21.294176207068194
472,2020-04-16,21.294176207068194
473,2020-04-17,21.294176207068194
474,2020-04-18,21.294176207068194
475,2020-04-19,19.164758586361376
476,2020-04-20,21.294176207068194
477,2020-04-21,21.294176207068194
478,2020-04-22,21.294176207068194
479,2020-04-23,23.423593827775015
480,2020-04-24,17.035340965654555
481,2020-04-25,21.294176207068194
482,2020-04-26,21.294176207068194
483,2020-04-27,23.423593827775015
484,2020-04-28,23.423593827775015
485,2020-04-29,31.94126431060229
486,2020-04-30,36.20009955201593
487,2020-04-30,42.23344947735191
488,2020-05-01,30.53266331658291
489,2020-05-02,27.043216080402008
490,2020-05-03,27.915577889447235
491,2020-05-04,26.170854271356784
492,2020-05-05,24.426130653266327
493,2020-05-06,28.78793969849246
494,2020-05-07,35.76683417085427
495,2020-05-08,36.63919597989949
496,2020-05-09,34.89447236180904
497,2020-05-10,41.87336683417085
498,2020-05-11,49.724623115577884
499,2020-05-12,37.51155778894472
500,2020-05-13,31.40502512562814
501,2020-05-14,32.27738693467336
502,2020-05-15,28.78793969849246
503,2020-05-16,26.170854271356784
504,2020-05-17,26.170854271356784
505,2020-05-18,25.298492462311557
506,2020-05-19,24.426130653266327
507,2020-05-20,24.426130653266327
508,2020-05-21,25.298492462311557
509,2020-05-22,24.426130653266327
510,2020-05-23,21.809045226130653
511,2020-05-24,22.681407035175877
512,2020-05-25,24.426130653266327
513,2020-05-26,22.681407035175877
514,2020-05-27,21.809045226130653
515,2020-05-28,22.681407035175877
516,2020-05-29,20.936683417085426
517,2020-05-30,20.936683417085426
518,2020-05-31,20.0643216080402
519,2020-06-01,21.921331316187594
520,2020-06-02,31.452344931921328
521,2020-06-03,24.780635400907713
522,2020-06-04,23.827534039334342
523,2020-06-05,22.874432677760968
524,2020-06-06,20.96822995461422
525,2020-06-07,21.921331316187594
526,2020-06-08,21.921331316187594
527,2020-06-09,20.96822995461422
528,2020-06-10,21.921331316187594
529,2020-06-11,23.827534039334342
530,2020-06-12,20.96822995461422
531,2020-06-13,20.015128593040846
532,2020-06-14,20.015128593040846
533,2020-06-15,21.921331316187594
534,2020-06-16,20.96822995461422
535,2020-06-17,20.96822995461422
536,2020-06-18,19.06202723146747
537,2020-06-19,20.015128593040846
538,2020-06-20,18.108925869894097
539,2020-06-21,18.108925869894097
540,2020-06-22,19.06202723146747
541,2020-06-23,20.015128593040846
542,2020-06-24,20.015128593040846
543,2020-06-25,20.015128593040846
544,2020-06-26,19.06202723146747
545,2020-06-27,18.108925869894097
546,2020-06-28,20.015128593040846
547,2020-06-29,19.06202723146747
548,2020-06-30,18.108925869894097
549,2020-07-01,17.714285714285715
550,2020-07-02,17.714285714285715
551,2020-07-03,17.714285714285715
552,2020-07-04,15.942857142857143
553,2020-07-05,16.82857142857143
554,2020-07-06,13.285714285714286
555,2020-07-07,10.628571428571428
556,2020-07-08,18.599999999999998
557,2020-07-09,18.599999999999998
558,2020-07-10,16.82857142857143
559,2020-07-11,15.942857142857143
560,2020-07-12,16.82857142857143
561,2020-07-13,17.714285714285715
562,2020-07-14,18.599999999999998
563,2020-07-15,20.371428571428574
564,2020-07-16,23.02857142857143
565,2020-07-17,18.599999999999998
566,2020-07-18,23.914285714285715
567,2020-07-19,16.82857142857143
568,2020-07-20,16.82857142857143
569,2020-07-21,17.714285714285715
570,2020-07-22,16.82857142857143
571,2020-07-23,18.599999999999998
572,2020-07-24,19.485714285714284
573,2020-07-25,20.371428571428574
574,2020-07-26,23.914285714285715
575,2020-07-27,32.771428571428565
576,2020-07-28,34.542857142857144
577,2020-07-29,30.999999999999996
578,2020-07-30,25.685714285714287
579,2020-07-31,26.571428571428573
580,2020-08-01,33.81818181818181
581,2020-08-02,33.81818181818181
582,2020-08-03,28.334152334152336
583,2020-08-04,25.59213759213759
584,2020-08-05,26.506142506142506
585,2020-08-06,27.42014742014742
586,2020-08-07,25.59213759213759
587,2020-08-08,24.678132678132677
588,2020-08-09,23.764127764127764
589,2020-08-10,26.506142506142506
590,2020-08-11,25.59213759213759
591,2020-08-12,24.678132678132677
592,2020-08-13,23.764127764127764
593,2020-08-14,22.85012285012285
594,2020-08-15,22.85012285012285
595,2020-08-16,22.85012285012285
